,SPP,SLA,SD,SD_MASS,N,Yrs,Ht,Length,Width,Diam
405,Dodbur,4.12,0.87,8,1.341,33,60,140,110,10
406,Dodbur,4.12,0.87,8,1.341,8,45,60,55,4.31
407,Dodbur,4.12,0.87,8,1.341,6,85,120,85,10.97
408,Dodbur,4.12,0.87,8,1.341,8,55,90,90,10
409,Dodbur,4.12,0.87,8,1.341,8,55,155,130,11.45
410,Dodbur,4.12,0.87,8,1.341,6,55,85,80,5
411,Dodbur,4.12,0.87,8,1.341,15,65,140,140,10
412,Dodbur,4.12,0.87,8,1.341,41,50,120,120,15
413,Dodbur,4.12,0.87,8,1.341,15,70,140,130,15
414,Dodbur,4.12,0.87,8,1.341,6,45,100,105,13.06
415,Dodbur,4.12,0.87,8,1.341,33,75,105,115,2
416,Dodbur,4.12,0.87,8,1.341,4,70,75,70,7.1
417,Dodbur,4.12,0.87,8,1.341,33,50,110,100,17.85
418,Dodbur,4.12,0.87,8,1.341,15,55,85,85,5.99
419,Dodbur,4.12,0.87,8,1.341,41,65,110,90,9.24
420,Dodbur,4.12,0.87,8,1.341,33,50,120,120,8
421,Dodbur,4.12,0.87,8,1.341,6,65,100,90,10
422,Dodbur,4.12,0.87,8,1.341,8,54,81,61,8.08
423,Dodbur,4.12,0.87,8,1.341,8,65,95,85,9.41
424,Dodbur,4.12,0.87,8,1.341,41,60,100,110,10
425,Dodbur,4.12,0.87,8,1.341,41,65,100,130,4
426,Dodbur,4.12,0.87,8,1.341,4,64,118,122,10.92
427,Dodbur,4.12,0.87,8,1.341,15,55,105,112,7.46
428,Dodbur,4.12,0.87,8,1.341,4,90,85,68,6.77
429,Dodbur,4.12,0.87,8,1.341,4,57,55,60,0.2
430,Dodbur,4.12,0.87,8,1.341,4,50,45,57,0.3
431,Dodbur,4.12,0.87,8,1.341,15,50,85,80,7.13
432,Dodbur,4.12,0.87,8,1.341,33,30,90,90,10
433,Dodbur,4.12,0.87,8,1.341,33,60,150,140,15
434,Dodbur,4.12,0.87,8,1.341,0,0.1,0.1,0.1,NA
435,Dodbur,4.12,0.87,8,1.341,6,58,87,108,9.26
436,Dodbur,4.12,0.87,8,1.341,41,75,140,140,10.69
437,Dodbur,4.12,0.87,8,1.341,6,40,90,50,6
438,Dodbur,4.12,0.87,8,1.341,13,60,60,70,8
439,Dodbur,4.12,0.87,8,1.341,8,90,150,180,20
440,Dodbur,4.12,0.87,8,1.341,8,70,120,130,6
441,Dodbur,4.12,0.87,8,1.341,13,50,90,90,4
442,Dodbur,4.12,0.87,8,1.341,41,60,120,120,10
443,Dodbur,4.12,0.87,8,1.341,2,54,50,55,0.8
444,Dodbur,4.12,0.87,8,1.341,2,55,60,60,0.7
445,Dodbur,4.12,0.87,8,1.341,41,60,110,100,10
446,Dodbur,4.12,0.87,8,1.341,4,85,55,90,6.61
447,Dodbur,4.12,0.87,8,1.341,2,50,55,60,3
448,Dodbur,4.12,0.87,8,1.341,8,60,100,75,8.77
449,Dodbur,4.12,0.87,8,1.341,8,100,170,150,20
450,Dodbur,4.12,0.87,8,1.341,4,65,135,65,11.03
451,Dodbur,4.12,0.87,8,1.341,41,50,97,80,7.64
452,Dodbur,4.12,0.87,8,1.341,6,70,140,110,12
453,Dodbur,4.12,0.87,8,1.341,36,65,125,100,3
454,Dodbur,4.12,0.87,8,1.341,13,55,140,140,10
455,Dodbur,4.12,0.87,8,1.341,41,55,100,100,5
456,Dodbur,4.12,0.87,8,1.341,36,40,105,105,10
457,Dodbur,4.12,0.87,8,1.341,4,80,120,145,16.08
458,Dodbur,4.12,0.87,8,1.341,8,48,75,83,7.32
459,Dodbur,4.12,0.87,8,1.341,33,75,110,110,10.52
460,Dodbur,4.12,0.87,8,1.341,15,80,160,150,15
461,Dodbur,4.12,0.87,8,1.341,8,65,65,80,7.8
462,Dodbur,4.12,0.87,8,1.341,6,58,70,70,11
463,Dodbur,4.12,0.87,8,1.341,8,50,65,70,12.5
464,Dodbur,4.12,0.87,8,1.341,15,70,140,140,8
465,Dodbur,4.12,0.87,8,1.341,4,95,40,50,15.52
466,Eregla,4.17,0.76,83,1.82,6,80,80,110,10
467,Eregla,4.17,0.76,83,1.82,8,20,46,32,6.91
468,Eregla,4.17,0.76,83,1.82,6,25,45,50,12.91
469,Eregla,4.17,0.76,83,1.82,2,50,65,40,5
470,Eregla,4.17,0.76,83,1.82,6,85,80,95,5
471,Eregla,4.17,0.76,83,1.82,4,40,75,60,6.41
472,Eregla,4.17,0.76,83,1.82,4,60,60,63,9.2
473,Eregla,4.17,0.76,83,1.82,6,95,125,110,17.8
474,Eregla,4.17,0.76,83,1.82,41,90,140,130,15.74
475,Eregla,4.17,0.76,83,1.82,8,155,260,250,31.94
476,Eregla,4.17,0.76,83,1.82,6,50,75,80,7
477,Eregla,4.17,0.76,83,1.82,33,80,130,130,11.93
478,Eregla,4.17,0.76,83,1.82,2,50,100,70,6
479,Eregla,4.17,0.76,83,1.82,2,45,50,50,3
480,Eregla,4.17,0.76,83,1.82,15,95,125,100,12.05
481,Eregla,4.17,0.76,83,1.82,13,50,70,70,2
482,Eregla,4.17,0.76,83,1.82,8,45,60,40,8.31
483,Eregla,4.17,0.76,83,1.82,8,105,160,190,20.02
484,Eregla,4.17,0.76,83,1.82,86,100,102,92,0.8
485,Eregla,4.17,0.76,83,1.82,8,51,53,47,14.66
486,Eregla,4.17,0.76,83,1.82,33,110,140,170,17.42
487,Eregla,4.17,0.76,83,1.82,15,85,160,130,12.36
488,Eregla,4.17,0.76,83,1.82,36,87,152,157,2
489,Eregla,4.17,0.76,83,1.82,33,100,110,75,21.84
490,Eregla,4.17,0.76,83,1.82,15,100,130,120,18.12
491,Eregla,4.17,0.76,83,1.82,6,80,110,90,15.4
492,Eregla,4.17,0.76,83,1.82,2,30,60,50,2
493,Eregla,4.17,0.76,83,1.82,41,70,170,115,11.97
494,Eregla,4.17,0.76,83,1.82,41,86,115,116,1.2
495,Eregla,4.17,0.76,83,1.82,15,130,230,200,19.87
496,Eregla,4.17,0.76,83,1.82,36,160,270,300,12.1
497,Eregla,4.17,0.76,83,1.82,8,95,240,210,19.98
498,Eregla,4.17,0.76,83,1.82,2,40,60,50,3
499,Eregla,4.17,0.76,83,1.82,36,110,210,190,14.5
500,Eregla,4.17,0.76,83,1.82,2,50,55,45,0.3
501,Eregla,4.17,0.76,83,1.82,6,95,120,100,19.2
502,Eregla,4.17,0.76,83,1.82,41,85,180,200,13.69
503,Eregla,4.17,0.76,83,1.82,8,36,73,64,14.4
504,Eregla,4.17,0.76,83,1.82,6,81,120,125,13.22
505,Eregla,4.17,0.76,83,1.82,4,60,90,85,9.71
506,Eregla,4.17,0.76,83,1.82,8,110,160,140,21
507,Eregla,4.17,0.76,83,1.82,36,180,270,240,9.53
508,Eregla,4.17,0.76,83,1.82,36,115,180,150,14.8
509,Eregla,4.17,0.76,83,1.82,36,77,145,137,1
510,Eregla,4.17,0.76,83,1.82,36,150,130,140,39.69
511,Eregla,4.17,0.76,83,1.82,4,70,90,75,15.29
512,Eregla,4.17,0.76,83,1.82,4,27,25,20,0.4
513,Eregla,4.17,0.76,83,1.82,33,170,280,200,20
514,Eregla,4.17,0.76,83,1.82,41,80,130,120,19
515,Eregla,4.17,0.76,83,1.82,4,35,39,38,0.3
516,Eregla,4.17,0.76,83,1.82,8,110,120,120,15
517,Eregla,4.17,0.76,83,1.82,36,95,130,140,13.36
518,Eregla,4.17,0.76,83,1.82,4,130,93,100,16.19
519,Eregla,4.17,0.76,83,1.82,0,0.1,0.1,0.1,NA
520,Eregla,4.17,0.76,83,1.82,8,35,76,70,4.76
521,Eregla,4.17,0.76,83,1.82,15,120,170,150,13.65
522,Eregla,4.17,0.76,83,1.82,4,45,45,45,4.27
523,Eregla,4.17,0.76,83,1.82,33,90,130,95,42
524,Eregla,4.17,0.76,83,1.82,6,60,65,70,6
525,Eregla,4.17,0.76,83,1.82,33,130,140,120,15
526,Eregla,4.17,0.76,83,1.82,13,65,40,40,2
527,Eregla,4.17,0.76,83,1.82,4,43,60,63,9.3
528,Eregla,4.17,0.76,83,1.82,4,45,120,115,7.9
529,Eregla,4.17,0.76,83,1.82,4,45,50,58,0.3
530,Eregla,4.17,0.76,83,1.82,41,130,220,240,20
531,Eregla,4.17,0.76,83,1.82,41,100,140,100,18
532,Eregla,4.17,0.76,83,1.82,6,98,97,90,13.57
533,Eregla,4.17,0.76,83,1.82,36,100,260,260,19.7
534,Eregla,4.17,0.76,83,1.82,41,50,55,70,24
535,Eregla,4.17,0.76,83,1.82,33,110,130,130,8
536,Eregla,4.17,0.76,83,1.82,36,67,75,75,0.7
537,Eregla,4.17,0.76,83,1.82,33,90,85,80,11.64
538,Eregla,4.17,0.76,83,1.82,8,33,44,20,2.81
539,Eregla,4.17,0.76,83,1.82,4,66,63,63,8.84
540,Eregla,4.17,0.76,83,1.82,41,130,180,180,16.27
541,Eregla,4.17,0.76,83,1.82,2,30,25,40,0.1
542,Eregla,4.17,0.76,83,1.82,8,68,85,70,6.52
543,Eregla,4.17,0.76,83,1.82,4,50,98,88,7.82
544,Eregla,4.17,0.76,83,1.82,15,100,115,110,18.33
545,Eregla,4.17,0.76,83,1.82,28,100,137,120,15.63
546,Eregla,4.17,0.76,83,1.82,8,30,55,45,4.46
547,Eregla,4.17,0.76,83,1.82,8,90,163,193,16
548,Eregla,4.17,0.76,83,1.82,8,50,45,25,12.32
549,Eregla,4.17,0.76,83,1.82,4,60,75,90,7.94
550,Eregla,4.17,0.76,83,1.82,41,100,100,104,1.5
551,Eregla,4.17,0.76,83,1.82,8,50,60,50,8.37
552,Eregla,4.17,0.76,83,1.82,6,110,120,120,10
553,Eregla,4.17,0.76,83,1.82,33,80,110,80,29.59
554,Eregla,4.17,0.76,83,1.82,4,75,70,80,5.43
555,Eregla,4.17,0.76,83,1.82,6,80,90,60,10
556,Eregla,4.17,0.76,83,1.82,2,50,60,50,5
557,Eregla,4.17,0.76,83,1.82,33,110,200,140,29.34
558,Eregla,4.17,0.76,83,1.82,2,22,35,30,0.3
559,Eregla,4.17,0.76,83,1.82,15,80,75,70,5.89
560,Eregla,4.17,0.76,83,1.82,8,70,105,95,7
561,EucBlue,2.24,0.84,0.43,1.16,41,430,480,530,91.13
562,EucBlue,2.24,0.84,0.43,1.16,6,220,280,290,30
563,EucBlue,2.24,0.84,0.43,1.16,8,220,280,270,31.4
564,EucBlue,2.24,0.84,0.43,1.16,41,400,550,380,122.78
565,EucBlue,2.24,0.84,0.43,1.16,1,95,240,170,NA
566,EucBlue,2.24,0.84,0.43,1.16,8,280,420,435,52.07
567,EucBlue,2.24,0.84,0.43,1.16,8,200,210,270,29.54
568,EucBlue,2.24,0.84,0.43,1.16,2,90,250,150,13.78
569,EucBlue,2.24,0.84,0.43,1.16,1,75,180,210,10.96
570,EucBlue,2.24,0.84,0.43,1.16,8,130,160,130,18.6
571,EucBlue,2.24,0.84,0.43,1.16,41,380,830,460,133.81
572,EucBlue,2.24,0.84,0.43,1.16,8,400,690,650,62.65
573,EucBlue,2.24,0.84,0.43,1.16,8,250,345,330,41.52
574,EucBlue,2.24,0.84,0.43,1.16,6,220,420,360,50.2
575,EucBlue,2.24,0.84,0.43,1.16,1,95,220,250,12.61
576,EucBlue,2.24,0.84,0.43,1.16,2,150,335,300,37.42
577,EucBlue,2.24,0.84,0.43,1.16,6,200,280,300,31.3
578,EucBlue,2.24,0.84,0.43,1.16,8,150,150,120,23.33
579,EucBlue,2.24,0.84,0.43,1.16,8,260,475,415,35.31
580,EucBlue,2.24,0.84,0.43,1.16,6,220,290,260,40.58
581,EucBlue,2.24,0.84,0.43,1.16,8,120,130,120,22.68
582,EucBlue,2.24,0.84,0.43,1.16,8,140,180,190,13.79
583,EucBlue,2.24,0.84,0.43,1.16,2,56,205,150,16.88
584,EucBlue,2.24,0.84,0.43,1.16,41,380,370,700,150.89
585,EucBlue,2.24,0.84,0.43,1.16,36,400,900,780,187.9
586,EucBlue,2.24,0.84,0.43,1.16,15,200,380,290,46.14
587,EucBlue,2.24,0.84,0.43,1.16,28,300,380,240,71.79
588,EucBlue,2.24,0.84,0.43,1.16,2,65,125,140,11.05
589,EucBlue,2.24,0.84,0.43,1.16,33,280,620,480,78.87
590,EucBlue,2.24,0.84,0.43,1.16,6,230,240,400,41.3
591,EucBlue,2.24,0.84,0.43,1.16,6,230,290,430,39
592,EucBlue,2.24,0.84,0.43,1.16,1,50,110,90,11.19
593,EucBlue,2.24,0.84,0.43,1.16,8,105,140,125,30
594,EucBlue,2.24,0.84,0.43,1.16,13,300,320,360,55
595,EucBlue,2.24,0.84,0.43,1.16,2,155,320,240,25.13
596,EucBlue,2.24,0.84,0.43,1.16,8,340,520,530,79.11
597,EucBlue,2.24,0.84,0.43,1.16,28,350,360,350,52.37
598,EucBlue,2.24,0.84,0.43,1.16,33,300,390,350,72.09
599,EucBlue,2.24,0.84,0.43,1.16,33,260,435,470,50.74
600,EucBlue,2.24,0.84,0.43,1.16,36,400,690,670,85.7
601,EucBlue,2.24,0.84,0.43,1.16,36,500,140,530,101.7
602,EucBlue,2.24,0.84,0.43,1.16,4,50,90,75,10.53
603,EucBlue,2.24,0.84,0.43,1.16,2,185,280,260,50
604,EucBlue,2.24,0.84,0.43,1.16,15,350,540,380,65
605,EucBlue,2.24,0.84,0.43,1.16,8,220,215,220,22.8
606,EucBlue,2.24,0.84,0.43,1.16,13,350,490,440,55
607,EucBlue,2.24,0.84,0.43,1.16,33,350,440,450,67.05
608,EucBlue,2.24,0.84,0.43,1.16,6,190,355,332,33
609,EucBlue,2.24,0.84,0.43,1.16,4,90,90,100,19.51
610,EucBlue,2.24,0.84,0.43,1.16,36,360,800,820,132.18
611,EucBlue,2.24,0.84,0.43,1.16,2,230,320,330,41
612,EucBlue,2.24,0.84,0.43,1.16,15,220,240,300,56.18
613,EucBlue,2.24,0.84,0.43,1.16,6,120,320,390,21.89
614,EucBlue,2.24,0.84,0.43,1.16,4,160,280,290,20.42
615,EucBlue,2.24,0.84,0.43,1.16,8,90,115,90,15
616,EucBlue,2.24,0.84,0.43,1.16,4,45,60,60,8.62
617,EucBlue,2.24,0.84,0.43,1.16,36,380,730,710,109.7
618,EucBlue,2.24,0.84,0.43,1.16,41,700,520,600,80
619,EucBlue,2.24,0.84,0.43,1.16,8,95,95,55,15.29
620,EucBlue,2.24,0.84,0.43,1.16,36,460,720,800,90.47
621,EucBlue,2.24,0.84,0.43,1.16,13,300,410,410,54
622,EucBlue,2.24,0.84,0.43,1.16,15,190,230,230,23.49
623,EucBlue,2.24,0.84,0.43,1.16,13,230,360,320,68
624,EucBlue,2.24,0.84,0.43,1.16,28,400,640,560,55.52
625,EucBlue,2.24,0.84,0.43,1.16,13,340,490,400,47
626,EucBlue,2.24,0.84,0.43,1.16,6,145,290,240,25.75
627,EucBlue,2.24,0.84,0.43,1.16,4,230,460,450,31.05
628,EucBlue,2.24,0.84,0.43,1.16,15,450,600,610,81
629,EucBlue,2.24,0.84,0.43,1.16,6,240,380,470,33.29
630,EucBlue,2.24,0.84,0.43,1.16,8,200,190,280,27.98
631,EucBlue,2.24,0.84,0.43,1.16,1,74,140,120,6.81
632,EucBlue,2.24,0.84,0.43,1.16,8,270,240,210,34.71
633,EucBlue,2.24,0.84,0.43,1.16,8,220,290,290,36.9
634,EucBlue,2.24,0.84,0.43,1.16,4,170,350,380,38.01
635,EucBlue,2.24,0.84,0.43,1.16,15,220,220,310,60.71
636,EucBlue,2.24,0.84,0.43,1.16,15,200,280,380,36.34
637,EucBlue,2.24,0.84,0.43,1.16,8,300,510,510,84.29
638,EucBlue,2.24,0.84,0.43,1.16,2,200,310,280,54
639,EucBlue,2.24,0.84,0.43,1.16,2,180,520,300,40
640,EucBlue,2.24,0.84,0.43,1.16,0,0.1,0.1,0.1,NA
641,EucBlue,2.24,0.84,0.43,1.16,8,280,380,440,38
642,EucBlue,2.24,0.84,0.43,1.16,41,650,500,540,243.04
643,EucBlue,2.24,0.84,0.43,1.16,6,210,520,450,39.48
644,EucBlue,2.24,0.84,0.43,1.16,13,240,370,360,82
645,EucBlue,2.24,0.84,0.43,1.16,15,280,460,470,63
646,EucBlue,2.24,0.84,0.43,1.16,2,170,270,357,54
647,EucBlue,2.24,0.84,0.43,1.16,2,95,150,145,18.51
648,EucBlue,2.24,0.84,0.43,1.16,8,145,150,150,35
649,EucBlue,2.24,0.84,0.43,1.16,2,220,170,200,28.03
650,EucBlue,2.24,0.84,0.43,1.16,13,340,360,380,55
651,EucBlue,2.24,0.84,0.43,1.16,15,150,115,100,22.38
652,EucBlue,2.24,0.84,0.43,1.16,33,360,480,420,65.34
653,EucBlue,2.24,0.84,0.43,1.16,4,200,200,300,30.36
654,EucBlue,2.24,0.84,0.43,1.16,4,210,270,270,14.3
655,EucBlue,2.24,0.84,0.43,1.16,28,320,580,570,81.78
656,EucBlue,2.24,0.84,0.43,1.16,13,300,370,320,48
657,EucBlue,2.24,0.84,0.43,1.16,41,500,650,630,110
658,EucBlue,2.24,0.84,0.43,1.16,8,90,80,75,14.93
659,EucBlue,2.24,0.84,0.43,1.16,41,450,1100,750,130
660,EucBlue,2.24,0.84,0.43,1.16,33,320,530,550,74.3
661,EucBlue,2.24,0.84,0.43,1.16,15,340,550,480,66.32
662,EucBlue,2.24,0.84,0.43,1.16,41,450,800,920,150
663,EucBlue,2.24,0.84,0.43,1.16,15,320,470,460,44.87
664,EucBlue,2.24,0.84,0.43,1.16,13,320,520,540,60
665,EucBlue,2.24,0.84,0.43,1.16,8,300,500,440,53
666,EucBlue,2.24,0.84,0.43,1.16,15,300,210,350,49.89
667,EucBlue,2.24,0.84,0.43,1.16,2,210,320,330,42
668,EucBlue,2.24,0.84,0.43,1.16,4,200,260,260,37.7
669,EucBlue,2.24,0.84,0.43,1.16,4,170,290,300,26.69
670,EucBlue,2.24,0.84,0.43,1.16,1,80,140,140,5.34
671,EucBlue,2.24,0.84,0.43,1.16,41,700,680,410,220.46
672,EucBlue,2.24,0.84,0.43,1.16,4,250,280,260,28.18
673,EucBlue,2.24,0.84,0.43,1.16,33,360,500,300,96.96
674,EucBlue,2.24,0.84,0.43,1.16,13,240,440,440,78
675,EucBlue,2.24,0.84,0.43,1.16,8,90,70,60,10.4
676,EucBlue,2.24,0.84,0.43,1.16,6,280,400,390,45.59
677,EucBlue,2.24,0.84,0.43,1.16,33,400,330,480,77.51
678,EucBlue,2.24,0.84,0.43,1.16,28,340,460,470,81.57
679,EucBlue,2.24,0.84,0.43,1.16,15,170,150,135,29.85
680,EucBlue,2.24,0.84,0.43,1.16,41,550,430,340,159
681,EucBlue,2.24,0.84,0.43,1.16,4,210,240,230,23.6
682,EucBlue,2.24,0.84,0.43,1.16,4,200,220,160,26.29
683,EucBlue,2.24,0.84,0.43,1.16,33,350,500,48,79.33
684,EucBlue,2.24,0.84,0.43,1.16,41,500,390,600,299.99
685,EucBlue,2.24,0.84,0.43,1.16,15,300,500,390,46.13
686,EucBlue,2.24,0.84,0.43,1.16,4,200,120,245,23.48
687,EucBlue,2.24,0.84,0.43,1.16,28,360,640,470,68.86
688,EucBlue,2.24,0.84,0.43,1.16,4,190,180,200,20.66
689,EucBlue,2.24,0.84,0.43,1.16,13,270,420,370,57
690,EucBlue,2.24,0.84,0.43,1.16,41,350,760,920,168.45
691,EucBlue,2.24,0.84,0.43,1.16,15,310,330,450,34.59
692,EucBlue,2.24,0.84,0.43,1.16,41,490,680,490,82.6
693,EucBlue,2.24,0.84,0.43,1.16,41,500,640,760,84
694,EucBlue,2.24,0.84,0.43,1.16,13,240,380,400,80
695,EucBlue,2.24,0.84,0.43,1.16,8,250,325,325,68
696,EucBlue,2.24,0.84,0.43,1.16,8,90,140,90,19.96
697,EucGreen,2.55,0.84,0.58,0.97,1,170,280,200,10.3
698,EucGreen,2.55,0.84,0.58,0.97,41,360,570,550,134.34
699,EucGreen,2.55,0.84,0.58,0.97,28,250,350,250,46.95
700,EucGreen,2.55,0.84,0.58,0.97,13,350,550,580,90
701,EucGreen,2.55,0.84,0.58,0.97,28,400,330,250,56.48
702,EucGreen,2.55,0.84,0.58,0.97,41,450,930,650,144
703,EucGreen,2.55,0.84,0.58,0.97,8,240,450,490,49.39
704,EucGreen,2.55,0.84,0.58,0.97,4,55,70,60,10.5
705,EucGreen,2.55,0.84,0.58,0.97,4,170,235,230,18.23
706,EucGreen,2.55,0.84,0.58,0.97,4,210,200,160,22.38
707,EucGreen,2.55,0.84,0.58,0.97,1,100,310,240,5.43
708,EucGreen,2.55,0.84,0.58,0.97,41,460,720,800,182.36
709,EucGreen,2.55,0.84,0.58,0.97,2,200,440,510,23
710,EucGreen,2.55,0.84,0.58,0.97,13,420,390,510,53
711,EucGreen,2.55,0.84,0.58,0.97,4,200,230,250,21.91
712,EucGreen,2.55,0.84,0.58,0.97,28,320,300,300,44.32
713,EucGreen,2.55,0.84,0.58,0.97,36,450,530,490,95.4
714,EucGreen,2.55,0.84,0.58,0.97,13,550,700,760,90
715,EucGreen,2.55,0.84,0.58,0.97,8,200,185,230,22.86
716,EucGreen,2.55,0.84,0.58,0.97,33,290,370,490,82.94
717,EucGreen,2.55,0.84,0.58,0.97,33,360,470,580,67.96
718,EucGreen,2.55,0.84,0.58,0.97,8,240,300,450,31.38
719,EucGreen,2.55,0.84,0.58,0.97,41,270,420,410,102.1
720,EucGreen,2.55,0.84,0.58,0.97,6,260,400,440,43.98
721,EucGreen,2.55,0.84,0.58,0.97,8,200,270,300,29.87
722,EucGreen,2.55,0.84,0.58,0.97,41,460,680,480,223.44
723,EucGreen,2.55,0.84,0.58,0.97,33,380,920,860,90
724,EucGreen,2.55,0.84,0.58,0.97,2,125,185,165,13.47
725,EucGreen,2.55,0.84,0.58,0.97,1,80,190,140,8
726,EucGreen,2.55,0.84,0.58,0.97,33,340,430,400,82.15
727,EucGreen,2.55,0.84,0.58,0.97,13,350,610,530,90
728,EucGreen,2.55,0.84,0.58,0.97,6,210,280,340,15.6
729,EucGreen,2.55,0.84,0.58,0.97,4,180,240,210,26.85
730,EucGreen,2.55,0.84,0.58,0.97,4,60,100,75,11.8
731,EucGreen,2.55,0.84,0.58,0.97,41,430,640,360,90
732,EucGreen,2.55,0.84,0.58,0.97,13,320,470,490,41
733,EucGreen,2.55,0.84,0.58,0.97,33,300,430,500,76.7
734,EucGreen,2.55,0.84,0.58,0.97,2,200,340,350,29
735,EucGreen,2.55,0.84,0.58,0.97,8,210,200,180,23.14
736,EucGreen,2.55,0.84,0.58,0.97,4,180,280,275,23.65
737,EucGreen,2.55,0.84,0.58,0.97,2,100,180,100,16
738,EucGreen,2.55,0.84,0.58,0.97,15,235,410,370,31.59
739,EucGreen,2.55,0.84,0.58,0.97,8,200,230,220,28.02
740,EucGreen,2.55,0.84,0.58,0.97,28,450,600,750,80.34
741,EucGreen,2.55,0.84,0.58,0.97,6,230,310,280,41
742,EucGreen,2.55,0.84,0.58,0.97,8,230,250,230,35.7
743,EucGreen,2.55,0.84,0.58,0.97,8,190,190,170,22.08
744,EucGreen,2.55,0.84,0.58,0.97,33,340,430,500,74.71
745,EucGreen,2.55,0.84,0.58,0.97,41,460,720,400,165.55
746,EucGreen,2.55,0.84,0.58,0.97,41,450,400,300,147
747,EucGreen,2.55,0.84,0.58,0.97,36,400,590,600,129.3
748,EucGreen,2.55,0.84,0.58,0.97,41,410,380,44,87.6
749,EucGreen,2.55,0.84,0.58,0.97,8,100,150,130,19.49
750,EucGreen,2.55,0.84,0.58,0.97,8,140,230,190,17
751,EucGreen,2.55,0.84,0.58,0.97,36,480,800,720,149.86
752,EucGreen,2.55,0.84,0.58,0.97,6,230,350,310,33
753,EucGreen,2.55,0.84,0.58,0.97,2,95,125,135,14.89
754,EucGreen,2.55,0.84,0.58,0.97,15,300,400,375,42.16
755,EucGreen,2.55,0.84,0.58,0.97,8,240,470,440,39.2
756,EucGreen,2.55,0.84,0.58,0.97,15,290,350,520,46.75
757,EucGreen,2.55,0.84,0.58,0.97,15,300,360,410,47
758,EucGreen,2.55,0.84,0.58,0.97,8,300,370,480,45.99
759,EucGreen,2.55,0.84,0.58,0.97,2,170,230,260,22
760,EucGreen,2.55,0.84,0.58,0.97,15,250,315,300,32.91
761,EucGreen,2.55,0.84,0.58,0.97,8,80,70,70,17.47
762,EucGreen,2.55,0.84,0.58,0.97,28,360,460,250,49.61
763,EucGreen,2.55,0.84,0.58,0.97,8,75,80,75,14
764,EucGreen,2.55,0.84,0.58,0.97,6,210,270,300,32.87
765,EucGreen,2.55,0.84,0.58,0.97,8,250,430,330,43
766,EucGreen,2.55,0.84,0.58,0.97,8,330,560,493,54
767,EucGreen,2.55,0.84,0.58,0.97,4,175,240,230,20.57
768,EucGreen,2.55,0.84,0.58,0.97,8,200,270,270,25.74
769,EucGreen,2.55,0.84,0.58,0.97,15,250,330,300,45.55
770,EucGreen,2.55,0.84,0.58,0.97,41,430,600,530,302.02
771,EucGreen,2.55,0.84,0.58,0.97,4,50,90,75,7.78
772,EucGreen,2.55,0.84,0.58,0.97,41,500,400,500,144
773,EucGreen,2.55,0.84,0.58,0.97,15,320,340,350,41.74
774,EucGreen,2.55,0.84,0.58,0.97,6,190,310,330,32.1
775,EucGreen,2.55,0.84,0.58,0.97,13,280,360,370,60
776,EucGreen,2.55,0.84,0.58,0.97,13,280,330,380,97
777,EucGreen,2.55,0.84,0.58,0.97,1,70,240,190,9.09
778,EucGreen,2.55,0.84,0.58,0.97,8,125,115,110,23
779,EucGreen,2.55,0.84,0.58,0.97,36,300,640,910,111.56
780,EucGreen,2.55,0.84,0.58,0.97,8,80,115,75,24.3
781,EucGreen,2.55,0.84,0.58,0.97,15,370,520,340,59.6
782,EucGreen,2.55,0.84,0.58,0.97,13,320,650,560,58
783,EucGreen,2.55,0.84,0.58,0.97,8,260,450,340,44.8
784,EucGreen,2.55,0.84,0.58,0.97,8,220,250,215,26.86
785,EucGreen,2.55,0.84,0.58,0.97,41,480,650,720,150
786,EucGreen,2.55,0.84,0.58,0.97,15,300,360,480,49
787,EucGreen,2.55,0.84,0.58,0.97,8,80,85,80,18.5
788,EucGreen,2.55,0.84,0.58,0.97,36,400,870,940,95
789,EucGreen,2.55,0.84,0.58,0.97,8,360,580,440,54.47
790,EucGreen,2.55,0.84,0.58,0.97,28,400,640,680,70.33
791,EucGreen,2.55,0.84,0.58,0.97,4,175,250,225,25.2
792,EucGreen,2.55,0.84,0.58,0.97,41,530,960,930,252.039
793,EucGreen,2.55,0.84,0.58,0.97,4,175,220,340,51.29
794,EucGreen,2.55,0.84,0.58,0.97,15,400,400,400,50.18
795,EucGreen,2.55,0.84,0.58,0.97,33,500,760,730,171.79
796,EucGreen,2.55,0.84,0.58,0.97,13,210,330,340,35
797,EucGreen,2.55,0.84,0.58,0.97,41,400,450,430,56.31
798,EucGreen,2.55,0.84,0.58,0.97,8,180,245,220,16.97
799,EucGreen,2.55,0.84,0.58,0.97,2,150,320,380,41.86
800,EucGreen,2.55,0.84,0.58,0.97,15,300,350,400,44
801,EucGreen,2.55,0.84,0.58,0.97,33,520,700,980,112.7
802,EucGreen,2.55,0.84,0.58,0.97,2,180,400,430,20
803,EucGreen,2.55,0.84,0.58,0.97,2,180,310,320,33
804,EucGreen,2.55,0.84,0.58,0.97,1,45,170,150,10.93
805,EucGreen,2.55,0.84,0.58,0.97,8,280,280,360,40
806,EucGreen,2.55,0.84,0.58,0.97,13,320,340,530,77
807,EucGreen,2.55,0.84,0.58,0.97,8,160,180,180,21.19
808,EucGreen,2.55,0.84,0.58,0.97,6,220,210,190,40.08
809,EucGreen,2.55,0.84,0.58,0.97,6,190,220,200,24.4
