item_ID,ITEM_ACTION_ID,TRIALID,trait,STARTDATE,DURATION,detailed_description,trait_2,value_numeric,units,value_2,units_2,treatment_3,value_3,unts_3,unts_2,value_categorical,value,species_name,gathering_date,site_name,site_name_shorter,locality,collector,latitude (deg),longitude (deg)
1143366,1417150,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.6689, Total wt: 5.9612",TSW,6.689,gm,,NA,,,,,NA,6.689,Hymenosporum flavum  ,3/24/1999,site_at_-32.0944_degS_and_151.4758_degE,site_at_-32.0944_degS_and_151.4758_degE,"Beside Careys Peak Walking Trail, Chichester State Forest. Near Barrington Tops.","Mallinson, D.J.",-32.0944,151.4758
1144287,1417166,NA,Seed Sample,02-JAN-06,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.348, Total wt: 2.051",TSW,13.48,gm,,NA,,,,,NA,13.48,Gastrolobium spectabile  ,11/15/1998,site_at_-31.0469_degS_and_118.0342_degE,site_at_-31.0469_degS_and_118.0342_degE,"3.5 km along Billyacatting Road from Kwelkan North Road, c. 10km NE of Kununappin.","Chandler, G.T.",-31.0469,118.0342
1145240,1417193,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 44, Wt of sample: 0.0075, Total wt: 0.0075",TSW,0.1705,gm,,NA,,,,,NA,0.1705,Goodenia decursiva  ,11/13/1998,site_at_-33.9097_degS_and_123.3478_degE,site_at_-33.9097_degS_and_123.3478_degE,"Poison Creek mouth, Cape Arid.","Donaldson, S.",-33.9097,123.3478
1145901,1417202,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 20, Wt of sample: 0.8001, Total wt: 0.8001",TSW,40.005,gm,,NA,,,,,NA,40.005,Hakea obliqua subsp. obliqua,11/12/1998,site_at_-33.6536_degS_and_123.7792_degE,site_at_-33.6536_degS_and_123.7792_degE,"8.6 km from Israelite Bay Cemetary to Esperance, on Fisheries Road.","Donaldson, S.",-33.6536,123.7792
1137310,1417047,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1549, Total wt: 0.3695",TSW,1.549,gm,,NA,,,,,NA,1.549,Bursaria calcicola  ,3/11/1995,site_at_-34.3167_degS_and_149.975_degE,site_at_-34.3167_degS_and_149.975_degE,"Wombeyan Caves, 5 m N of entrance to Wollondilly Cave.","Cayzer, L.W.",-34.3167,149.975
1137324,1417055,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 27, Wt of sample: 0.0198, Total wt: 0.0198",TSW,0.7333,gm,,NA,,,,,NA,0.7333,Rhytidosporum inconspicuum  ,1/17/1995,site_at_-37.6_degS_and_146.5_degE,site_at_-37.6_degS_and_146.5_degE,0.5 km past Licola-Heyfield turnoff on Mt Useful spur (South Road).,"Cayzer, L.W.",-37.6,146.5
1137327,1417057,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 24, Wt of sample: 0.1854, Total wt: 0.1854",TSW,7.725,gm,,NA,,,,,NA,7.725,Pittosporum multiflorum  ,10/4/1994,site_at_-28.5833_degS_and_153.1_degE,site_at_-28.5833_degS_and_153.1_degE,"Lamington National Park, Green Mountain, vehicular access road to Morans Creek near intersection with Red Road.","Cayzer, L.W.",-28.5833,153.1
1137342,1417069,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 1, Wt of sample: 0.0013, Total wt: 0.0013",TSW,1.3,gm,,NA,,,,,NA,1.3,Bursaria spinosa subsp. spinosa,7/24/1994,site_at_-35.1667_degS_and_149.1667_degE,site_at_-35.1667_degS_and_149.1667_degE,"Micalong Reserve, up slope along road to Billy Grace Reserve (towards Wee Jasper).","Cayzer, L.W.",-35.1667,149.1667
1137351,1417075,NA,Seed Sample,22-DEC-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 33, Wt of sample: 0.0972, Total wt: 0.0972",TSW,2.9455,gm,,NA,,,,,NA,2.9455,Pittosporum undulatum  ,11/4/1994,site_at_-37.8167_degS_and_144.9667_degE,site_at_-37.8167_degS_and_144.9667_degE,CULTIVATED Melbourne Botanic Gardens.,"Cayzer, L.W.",-37.8167,144.9667
1137356,1417078,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1145, Total wt: 0.1628",TSW,1.145,gm,,NA,,,,,NA,1.145,Bursaria longisepala  ,7/11/1996,site_at_-33.7436_degS_and_150.315_degE,site_at_-33.7436_degS_and_150.315_degE,"Katoomba, between bases of Giant Staircase and Echo Point.","Cayzer, L.W.",-33.7436,150.315
1138048,1417111,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3425, Total wt: 1.2176",TSW,3.425,gm,,NA,,,,,NA,3.425,Cullen cinereum  ,9/29/1999,site_at_-29.3117_degS_and_146.15_degE,site_at_-29.3117_degS_and_146.15_degE,"Beulah claypan, Lednapper Crossing area, NE of Bourke.","Bell, B.A.",-29.3117,146.15
1138058,1417113,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.4727, Total wt: 1.5653",TSW,4.727,gm,,NA,,,,,NA,4.727,Hannafordia bissillii  ,9/29/1999,site_at_-29.4333_degS_and_146.1186_degE,site_at_-29.4333_degS_and_146.1186_degE,"Lednapper Crossing Road, 1 km from Enngonia turnoff, towards Bourke.","Bell, B.A.",-29.4333,146.1186
1145914,1417203,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 21, Wt of sample: 0.4592, Total wt: 0.4592",TSW,21.8667,gm,,NA,,,,,NA,21.8667,Hakea erecta  ,11/10/1998,site_at_-33.0042_degS_and_120.9428_degE,site_at_-33.0042_degS_and_120.9428_degE,"11.5 km WSW of Dog Rock, Peak Charles National Park.","Donaldson, S.",-33.0042,120.9428
1145921,1417205,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 79, Wt of sample: 1.1189, Total wt: 1.1189",TSW,14.1633,gm,,NA,,,,,NA,14.1633,Petrophile stricta  ,11/10/1998,site_at_-33.0042_degS_and_120.9428_degE,site_at_-33.0042_degS_and_120.9428_degE,"11.5 km WSW of Dog Rock, Peak Charles National Park.","Donaldson, S.",-33.0042,120.9428
1146296,1417220,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1355, Total wt: 0.2176",TSW,1.355,gm,,NA,,,,,NA,1.355,Siegfriedia darwinioides  ,11/6/1998,site_at_-33.4267_degS_and_119.9867_degE,site_at_-33.4267_degS_and_119.9867_degE,N base of Mt Short.,"Donaldson, S.",-33.4267,119.9867
1146462,1417227,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.5118, Total wt: 0.6416",TSW,5.118,gm,,NA,,,,,NA,5.118,Cyanostegia angustifolia  ,11/15/1998,site_at_-31.9881_degS_and_118.3944_degE,site_at_-31.9881_degS_and_118.3944_degE,0.3 km S of Roach Rd along Merredin - Narembeen Rd.,"Donaldson, S.",-31.9881,118.3944
1146581,1417229,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0951, Total wt: 0.4715",TSW,0.951,gm,,NA,,,,,NA,0.951,Dampiera wellsiana  ,11/15/1998,site_at_-31.9881_degS_and_118.3944_degE,site_at_-31.9881_degS_and_118.3944_degE,0.3 km S of Roach Rd along Merredin - Narembeen Rd.,"Donaldson, S.",-31.9881,118.3944
1146714,1417232,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0635, Total wt: 1.4749",TSW,0.635,gm,,NA,,,,,NA,0.635,Xerochrysum bracteatum subsp. macranthum,11/2/1998,site_at_-33.3594_degS_and_116.6219_degE,site_at_-33.3594_degS_and_116.6219_degE,"12.5 km W of Darken towards Collie, on Coalfields Road.","Donaldson, S.",-33.3594,116.6219
1147290,1417237,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 67, Wt of sample: 0.3248, Total wt: 0.3248",TSW,4.8478,gm,,NA,,,,,NA,4.8478,Agrostocrinum hirsutum  ,11/1/1998,site_at_-34.5614_degS_and_117.7392_degE,site_at_-34.5614_degS_and_117.7392_degE,"10 km along Woogonelup Rd, NE of Mt Barker,  towards Stirling Range.","Donaldson, S.",-34.5614,117.7392
