sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds
E. calycogona_?_1_1_fruit,E. calycogona_?_1_fruit,Eucalyptus calycogona subsp. trachybasis,?,L.J. Pollock,NA,NA,NA,74.2,371,5,0.8,8,10
E. calycogona_?_1_2_fruit,E. calycogona_?_1_fruit,Eucalyptus calycogona subsp. trachybasis,?,L.J. Pollock,NA,NA,NA,109.4,547,5,NA,NA,NA
E. calycogona_Murrayville S Rd_1_1_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.29113924050633,2.6,0.079,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_1_2_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.31,3.31,0.1,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_1_3_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.36206896551724,1.95,0.058,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_1_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,2.92045454545455,2.57,0.088,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_2_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.07692307692308,4.8,0.156,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_3_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.15492957746479,4.48,0.142,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_1_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.08928571428571,1.73,0.056,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_2_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.24590163934426,1.98,0.061,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_3_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.55072463768116,2.45,0.069,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_1_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.56944444444444,2.57,0.072,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_2_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.64912280701754,4.16,0.114,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_3_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.68292682926829,1.51,0.041,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_1_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,2.84615384615385,2.96,0.104,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_2_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.13496932515337,5.11,0.163,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_3_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.25925925925926,2.64,0.081,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_1_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,106,106,1,4.2,21,5
E. cyanophylla_Shearer Quarters_1_1_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.33268858800774,12.06,0.517,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_2_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,119,119,1,23.8,119,5
E. cyanophylla_Shearer Quarters_1_2_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.35368043087971,13.11,0.557,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_3_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,136,136,1,27.2,136,5
E. cyanophylla_Shearer Quarters_1_3_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.42969776609724,18.49,0.761,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_1_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,336,336,1,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_1_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.7109634551495,10.3,0.602,NA,NA,NA,NA,NA,NA
