Family,taxa,percentgerm,presowtreat,germmedium,germcond,germnotes,refdesc
ADOXACEAE,Sambucus gaudichaudiana,90 % germination (seeds sown: 20),,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 91 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,50 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,50 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 63 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,65 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,70 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 63 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,75 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 63 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Disphyma crassifolium,79 % germination (seeds sown: 19),,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 84 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis calcarea,95 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis papillata,100 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 21 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis papillata,100 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 7 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis papillata,55 % germination (seeds sown: 20),,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 35 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis tenuifolia,100 % germination (seeds sown: 19),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis tenuifolia,74 % germination (seeds sown: 31),,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 77 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis tenuifolia,91 % germination (seeds sown: 23),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 49 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis zygophylloides,80 % germination (seeds sown: 10),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis zygophylloides,90 % germination (seeds sown: 10),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis zygophylloides,90 % germination (seeds sown: 10),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 42 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis zygophylloides,92 % germination (seeds sown: 25),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Gunniopsis zygophylloides,96 % germination (seeds sown: 25),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 49 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Tetragonia implexicoma,100 % germination (seeds sown: 10),pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Tetragonia implexicoma,100 % germination (seeds sown: 12),pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Zaleya galericulata subsp. galericulata,60 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 25/10°C (Therm 8/16); 41 days,,"RBG Kew, Wakehurst Place."
AIZOACEAE,Zaleya galericulata subsp. galericulata,80 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 20°C; 41 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma lanceolatum,55 % germination (seeds sown: 20),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 28 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma lanceolatum,60 % germination (seeds sown: 20),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 56 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,65 % germination (seeds sown: 20),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,80 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 105 days; anaerobic conditions (Incubated in low oxygen atmosphere using anaerojars with oxoid anaerogen sachet),,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,85 % germination (seeds sown: 20),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 35 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,85 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,86 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 21°C,,"RBG Kew, Wakehurst Place."
ALISMATACEAE,Alisma plantago-aquatica,95 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: distilled water,germination conditions: light 8/16; 25/10°C (Therm 8/16); 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,100 % germination (seeds sown: 19),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 36°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,100 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,100 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30/15°C (Therm 8/16); 14 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,100 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30/15°C (Therm 8/16); 14 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,50 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 35/20°C (Therm 8/16); 121 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,52 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 104 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,63 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium nitrate (KNO3),germination conditions: light 8/16; 35/15°C (Therm 8/16); 49 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,70 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,74 % germination (seeds sown: 19),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 91 days,,"RBG Kew, Wakehurst Place."
