Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Abutilon fraseri,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Abutilon halophilum,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Abutilon hannii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Abutilon leucopetalum,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Abutilon otocarpum,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Abutilon oxycarpum,Malvaceae,C3,NA,C3,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Acacia acuminata,Fabaceae,C3,NA,C3,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Acacia adoxa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia alleniana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia ampliceps,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia anceps,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia ancistrocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia aneura,Fabaceae,C3,NA,C3,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Acacia aptaneura,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,133.2473278,-22.2836,site_at_-22.284_deg_lat_133.247_deg_long
Acacia araneosa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia asperulacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia assimilis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia atkinsiana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia ayersiana,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,130.4504778,-29.34649167,site_at_-29.346_deg_lat_130.45_deg_long
Acacia beauverdiana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia bivenosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia brachystachya,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia browniana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia brownii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia burkittii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia buxifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia caesaneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia calamifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia calligera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia cambagei,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia catenulata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
