species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Xylomelum scottianum,,"Cape York, Qld",,,,,"simple, entire",amphistomatic,dry open forest,woody,perennial,33.88,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia nutans,,central NSW,,,,,"simple, entire",uneven amphistomatic,dry sclerophyll,woody,perennial,58,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,uneven amphi
Hakea microcarpa,,"eAust, Tas",,,,,terete and/or flat,amphistomatic,"subalpine bog, woodlands",woody,perennial,42.47,,628.1,,,,n,n,n,0,1,0,,,,,,0.981,terete and/or flat,,terete,,,,,,,,,,,,,,,,A1,microcarpa,open,terete
Hakea gibbosa,,eNSW,,,,,entire,amphistomatic,"dry sclerophyll, heath",woody,perennial,46.39,,,,,,n,n,n,0,1,0,,,,,,,entire,,,,,,,,,,,,,,,,,,A1,sericea,open,terete
Grevillea aspleniifolia,,eNSW,,,,,"simple, coarsely toothed",hypostomatic,woodlands,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, coarsely toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea buxifolia,,eNSW,,,,,"simple, entire",hypostomatic,open woodlands,woody,perennial,35.4,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea capitellata,,eNSW,,,,,"simple, entire",hypostomatic,swampy heathlands,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea linearifolia,,eNSW,,,,,"simple, entire",hypostomatic,open woodlands,woody,perennial,36.86,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Lambertia formosa,HO528992,eNSW,"Wentworth Falls, Blue Mountains",-33.698555,150.367545,,"simple, entire",hypostomatic,woodland to mallee,woody,perennial,36.14,,262.6835506,,233.7905032,793.4707986,n,n,n,0,0,0,368,,,22.7375568,,1.89,"simple, entire",,hypostomatic,0,15,0,0,0,2,0,0,0,0,3,0,0,1,2,,,open,hypo
Grevillea caleyi,,eNSW,,,,,"simple, pinnatisect or pinnatipartite",hypostomatic,"woodlands, heathlands",woody,perennial,29.91,,,,,,y,n,n,0,0,0,,,,,,,"simple, pinnatisect or pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
