Species,Sample,Leaf part,No. leaves,Area (cm^2),Area (mm2),Area per leaf (cm^2),Mass (g),Mass (mg),Mass per leaf (g),SLA (mm2/mg),Specific leaf mass (leaf mass mg/leaf area mm2)
Acaena xanserovina,1,whole,15,63.19,6319,4.213,0.45,450,0.0300,14.04,0.0712138
Agrostis avenacea,1,blade,12,7.44,744,0.620,0.037,37,0.0031,20.11,0.049731183
Agrostis avenacea ,1,sheath,13,8.52,852,0.655,0.131,131,0.0101,6.50,0.153755869
Alternanthera denticulata,1,whole,15,31.44,3144,2.096,0.168,168,0.0112,18.71,0.053435115
Amaranth sp1,1,whole,15,245.01,24501,16.334,1.862,1862,0.1241,13.16,0.075996898
Aster subulatus,1,whole,15,160.24,16024,10.683,0.969,969,0.0646,16.54,0.060471792
Austrodanthonia sp2,1,blade,17,21.6,2160,1.271,0.225,225,0.0132,9.60,0.104166667
Austrodanthonia sp2 ,1,sheath,17,19.59,1959,1.152,0.338,338,0.0199,5.80,0.172537009
Austrodanthonia spX,1,blade,8,4.11,411,0.514,0.032,32,0.0040,12.84,0.077858881
Austrodanthonia spX ,1,sheath,8,5.11,511,0.639,0.058,58,0.0073,8.81,0.113502935
Avena fatua,1,blade,5,23.32,2332,4.664,0.126,126,0.0252,18.51,0.054030875
Avena fatua ,1,sheath,5,19.08,1908,3.816,0.369,369,0.0738,5.17,0.193396226
Bromus catharticus,1,blade,14,109.55,10955,7.825,0.763,763,0.0545,14.36,0.069648562
Bromus catharticus ,1,sheath,14,40.11,4011,2.865,0.456,456,0.0326,8.80,0.11368736
Carex gaudichaudiana,1,whole,15,484.07,48407,32.271,2.739,2739,0.1826,17.67,0.056582726
Carex inversa,1,blade,15,21.09,2109,1.406,0.19,190,0.0127,11.10,0.09009009
Carex inversa ,1,sheath,15,3.27,327,0.218,0.046,46,0.0031,7.11,0.140672783
Carex tereticaulis,1,whole,5,112.96,11296,22.592,4.414,4414,0.8828,2.56,0.39075779
Centella cordifolia,1,whole,12,148.06,14806,12.338,0.649,649,0.0541,22.81,0.043833581
Centipeda cunninghamii,1,whole,15,8.66,866,0.577,0.04,40,0.0027,21.65,0.046189376
Chloris truncata,1,blade,12,7.72,772,0.643,0.078,78,0.0065,9.90,0.101036269
Chloris truncata ,1,sheath,12,10.39,1039,0.866,0.129,129,0.0108,8.05,0.124157844
Conyza bonariensis,1,whole,10,7.85,785,0.785,0.067,67,0.0067,11.72,0.085350318
