Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Acacia acinacea s.l. ,87,83,,perennial,150,Ant,,,,,
Acacia aculeatissima,87,83,,perennial,40,Ant,,,,,
Acacia baileyana,87,83,,perennial,500,Ant,,,,,
Acacia dealbata,87,83,,perennial,3000,Ant,,,,,
Acacia gunnii,87,83,,perennial,100,Ant,,,,,
Acacia hakeoides,87,83,,perennial,400,Ant,,,,,
Acacia iteaphylla,87,83,,perennial,300,Ant,,,,,
Acacia longifolia s.l.,87,83,,perennial,1000,Ant,,,,,
Acacia mearnsii,87,83,,perennial,1200,Ant,,,,,
Acacia melanoxylon,87,83,,perennial,3000,Ant,,,,,
Acacia myrtifolia,87,83,,perennial,100,Ant,,,,,
Acacia paradoxa,87,83,,perennial,200,Ant,,,,,
Acacia spinescens,87,83,,perennial,100,Ant,,,,,
Acacia verniciflua,87,83,,perennial,600,Ant,,,,,
Acacia verticillata,87,83,,perennial,400,Ant,,,,,
Acaena agnipila,87,83,,perennial,50,Adhesion,,,,,
Acaena echinata,87,83,,perennial,40,Adhesion,,,,,
Acaena novae-zelandiae,87,83,,perennial,20,Adhesion,,,,,
Acetosella vulgaris,87,83,,perennial,50,Undefined ,,,,,
Acrotriche serrulata,87,83,,perennial,30,Ingestion,,,,,
Allocasuarina luehmannii,87,83,,perennial,1500,Wind,,,,,
Allocasuarina torulosa,87,83,,perennial,1000,Wind,,,,,
Allocasuarina verticillata,87,83,,perennial,1000,Wind,,,,,
Amphibromus neesii,87,83,,perennial,150,Undefined,,,,,
Amyema pendula ,87,83,,perennial,2500,Ingestion,,,,,
Angianthus preissianus,87,83,,annual,8,Wind,,,,,
Aphelia gracilis,87,83,,annual,4,Undefined,,,,,
Aphelia pumilio,87,83,,annual,3,Undefined,,,,,
Arthropodium milleflorum s.s.,87,83,,perennial,100,Mobile ,,,,,
Arthropodium minus,87,83,,perennial,50,Undefined ,,,,,
Arthropodium strictum,87,83,,perennial,120,Undefined ,,,,,
Asperula conferta,87,83,,perennial,15,Undefined,,,,,
Asperula scoparia,87,83,,perennial,15,Undefined,,,,,
Asplenium flabellifolium,87,83,,perennial,100,Mobile ,,,,,
Astroloma conostephioides,87,83,,perennial,100,Ingestion,,,,,
Astroloma humifusum,87,83,,perennial,50,Ingestion,,,,,
Atriplex prostrata,87,83,,annual,50,Undefined,,,,,
Austrodanthonia caespitosa,87,83,,perennial,90,Adhesion,,,,,
Austrodanthonia duttoniana,87,83,,perennial,80,Adhesion,,,,,
Austrodanthonia eriantha,87,83,,perennial,60,Adhesion,,,,,
Austrodanthonia geniculata,87,83,,perennial,25,Adhesion,,,,,
