cluster_id,confidence,rationale,member_value,count,currently_in_column(s),
1,high,"same organ, one form bare + one names the measurement type",rosette,326,leaf type; plant organ measured,keep
1,high,"same organ, one form bare + one names the measurement type",rosette stalk,34,context,keep
2,high,"same organ, one form bare + one names the measurement type",rosette,326,leaf type; plant organ measured,keep
2,high,"same organ, one form bare + one names the measurement type",rosette diameter,7,context,change to rosette_width
3,high,"same organ, one form bare + one names the measurement type",rosette,326,leaf type; plant organ measured,keep
3,high,"same organ, one form bare + one names the measurement type",rosette width,2,context,keep
4,high,hyphenation variant,species rank value,184,taxon or population this value scored from,edit to conform
4,high,hyphenation variant,species-rank value,131,taxon or population this value scored from,keep
5,high,"wording variant, same organ",flowering stems,131,context,keep
5,high,"wording variant, same organ",flower stems,2,context,edit to conform
6,high,"same organ, one form bare + one names the measurement type",rachis,74,context; leaf type,keep
6,high,"same organ, one form bare + one names the measurement type",rachis length,6,context,edit to conform
7,high,noun vs gerund form,sheath,49,leaf type,keep
7,high,noun vs gerund form,sheathing,1,context,edit to conform
8,high,hyphenation variant,pseudopetiole,43,leaf type,keep
8,high,hyphenation variant,pseudo-petiole,4,context,edit to conform
9,high,"same organ, one form bare + one names the measurement type",inflorescence,32,context,keep
9,high,"same organ, one form bare + one names the measurement type",inflorescence length,2,context,edit to conform
10,high,"same organ, one form bare + one names the measurement type",flowering height,12,context,keep
10,high,"same organ, one form bare + one names the measurement type",flowering,12,context,keep
11,high,"same organ, one form bare + one names the measurement type",middle leaflet,16,leaf type,keep
11,high,"same organ, one form bare + one names the measurement type",middle leaflet stalk,5,leaf type,edit to conform
12,high,differs only in capitalisation,rosette leaves including petiole,11,leaf type,keep
12,high,differs only in capitalisation,Rosette leaves including petiole,2,leaf type,edit to conform
13,high,differs only in capitalisation,rosette leaves,8,leaf type,keep
13,high,differs only in capitalisation,Rosette leaves,2,leaf type,edit to conform
14,high,"same organ, one form bare + one names the measurement type",terminal lobe width,6,leaf type,edit to terminal_lobe
14,high,"same organ, one form bare + one names the measurement type",terminal lobe,2,leaf type,keep
15,high,"AU/US spelling of ""metres/meters""",several meters,4,context,edit to conform
15,high,"AU/US spelling of ""metres/meters""",several metres,2,context,keep
16,high,"singular/plural of ""part(s)""",aerial part of stem,3,context,keep
16,high,"singular/plural of ""part(s)""",aerial parts of stem,2,context,edit to conform
17,high,differs only in capitalisation,much shorter than stems,2,context,keep
17,high,differs only in capitalisation,Much shorter than stems,2,context,edit to conform
18,high,"""includes/including/incl."" wording variant",juvenile terminal leaflet,3,leaf type,"juvenile needs to go in ""organ age"" column; terminal leaflet in ""leaf type column"""
18,high,"""includes/including/incl."" wording variant",juvenile: terminal leaflet,1,leaf type,"juvenile needs to go in ""organ age"" column; terminal leaflet in ""leaf type column"""
19,high,"spelling typo (""spiklelets"")",spikelets,2,context,keep
19,high,"spelling typo (""spiklelets"")",spiklelets,2,context,edit to conform
20,high,"AU/US spelling of ""metres/meters""",many meters,1,context,edit to conform
20,high,"AU/US spelling of ""metres/meters""",many metres,1,context,keep
21,high,hyphenation variant,semiterete,1,context,edit to conform
21,high,hyphenation variant,semi-terete,1,leaf type,keep
22,medium,"median/medial used interchangeably by some scorers for ""middle""",median leaflet,17,leaf type,edit to conform
22,medium,"median/medial used interchangeably by some scorers for ""middle""",medial leaflet,14,leaf type,keep
23,medium,"adjective vs adverb form, same position concept",distal,10,leaf type,keep
23,medium,"adjective vs adverb form, same position concept",distally,2,context,edit to conform
24,medium,"median/medial used interchangeably by some scorers for ""middle""",median leaves,6,leaf type,edit to conform
24,medium,"median/medial used interchangeably by some scorers for ""middle""",medial leaves,5,leaf type,keep
25,medium,"median/medial used interchangeably by some scorers for ""middle""",medial leaf,2,leaf type,keep
25,medium,"median/medial used interchangeably by some scorers for ""middle""",median leaf,2,leaf type,edit to conform
26,low,"possibly same count-of-leaflets wording, verify",3-foliolate,8,context,keep
26,low,"possibly same count-of-leaflets wording, verify",3-foliate,2,leaf type,keep
