species_name,plant_height_max_Barlow_1981,plant_height_max_CPBR_2002,plant_height_max_GrassBase_2014,plant_height_max_Mokany_2015,plant_height_max_RBGSYD_2014_2,plant_height_max_SAH_2014,plant_height_max_TMAG_2009,plant_height_max_WAH_1998,plant_height_to_keep_max,plant_height_unique,original_name
Abrotanella forsterioides,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Abrotanella forsteroides
Abrotanella scapigera,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Abrotanella scapigera
Acacia dealbata,NA,NA,NA,30,15,NA,NA,NA,keep,plant_height_to_keep,Acacia dealbata
Acacia genistifolia,NA,NA,NA,3,3,NA,NA,NA,omit,NA,Acacia genistifolia
Acacia gunnii,NA,NA,NA,1,2,NA,NA,NA,keep,plant_height_to_keep,Acacia gunnii
Acacia longifolia,NA,NA,NA,3,8,NA,NA,NA,keep,plant_height_to_keep,Acacia longifolia
Acacia longifolia subsp. sophorae,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Acacia sophorae
Acacia mearnsii,NA,NA,NA,15,10,NA,NA,NA,keep,plant_height_to_keep,Acacia mearnsii
Acacia melanoxylon,NA,NA,NA,30,30,NA,NA,NA,omit,NA,Acacia melanoxylon
Acacia mucronata,NA,NA,NA,3.5,8,NA,NA,NA,keep,plant_height_to_keep,Acacia mucronata
Acacia myrtifolia,NA,NA,NA,3,3,NA,NA,NA,omit,NA,Acacia myrtifolia
Acacia riceana,NA,NA,NA,10,NA,NA,NA,NA,keep,plant_height_to_keep,Acacia riceana
Acacia stricta,NA,NA,NA,6,6,NA,NA,NA,omit,NA,Acacia stricta
Acacia suaveolens,NA,NA,NA,3,2.5,NA,NA,NA,keep,plant_height_to_keep,Acacia suaveolens
Acacia terminalis,NA,NA,NA,6,5,NA,NA,NA,keep,plant_height_to_keep,Acacia terminalis
Acacia ulicifolia,NA,NA,NA,2,2,NA,NA,NA,omit,NA,Acacia ulicifolia
Acacia verniciflua,NA,NA,NA,10,5,NA,NA,NA,keep,plant_height_to_keep,Acacia verniciflua
Acacia verticillata,NA,NA,NA,10,5,NA,NA,NA,keep,plant_height_to_keep,Acacia verticillata
Acaena agnipila,NA,NA,NA,0.5,0.5,0.5,NA,NA,omit,NA,Acaena agnipila
Acaena anserovina,NA,NA,NA,0.32,NA,NA,NA,NA,keep,plant_height_to_keep,Acaena Xanserovina
Acaena echinata,NA,NA,NA,0.4,0.4,NA,NA,0.45,omit,NA,Acaena echinata
Acaena montana,NA,NA,NA,0.32,NA,NA,NA,NA,keep,plant_height_to_keep,Acaena montana
