Species_name,Family,Synonyms,Resprouter,Location,Citation code,Notes,life.history,bud.position,dim.1,dim.2
Agrostis avenacea,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,C,NA,NA
Agrostis venusta,Poaceae,NA,Yes,Australia,Morgan 1999,NA,Annual,C,NA,NA
Aira cupaniana,Poaceae,NA,No,Australia,Lunt 1990,NA,Annual,NA,NA,NA
Alloteropsis semialata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,1.309037505,-0.981411934
Alopecurus myosuroides,Poaceae,NA,No,Australia,Brown 2009,NA,Annual,C,NA,NA
Amphibromus nervosus,Poaceae,NA,Yes,Oceania,Moore 2018,NA,NA,NA,NA,NA
Amphipogon amphipogonoides,Poaceae,NA,Yes,Oceania,Pekin 2010,NA,Perennial,R,NA,NA
Amphipogon caricinus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Amphipogon strictus,Poaceae,NA,Yes,Australia,Benson 2005,NA,Perennial,R,NA,NA
Andropogon gayanus,Poaceae,NA,Yes,Australia,Setterfield 2005,NA,Perennial,C,-1.064435987,0.896405872
Anthosachne scabra,Poaceae,NA,Yes,Oceania,Moore 2018,NA,NA,NA,NA,NA
Anthoxanthum odoratum,Poaceae,NA,Yes,Australia,Brown 2009,NA,Perennial,C,2.915620409,0.583378172
Aristida arida,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida biglandulosa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida calycina,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida capillifolia,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida contorta,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,C,-1.146937183,-0.981337831
Aristida dominii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,C,NA,NA
Aristida exserta,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida holathera,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,C,NA,NA
Aristida hygrometrica,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Aristida inaequiglumis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida jerichoensis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida latifolia,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida latzii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida nitidula,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida obscura,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida pruinosa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida queenslandica,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida ramosa,Poaceae,NA,Yes,Australia,OEH 2004,NA,Perennial,C,NA,NA
Aristida strigosa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
