taxon,site,wood density,LMA (g m-2),Leaf size (cm2),Ks (kg m-1 s-1 MPa -1),Amass (umol/kg/s),Aarea,Rmass (umol/kg/s),Rarea,max height (m),leaf N (mg/g),leaf P (mg/g)
Atriplex angulata,Fowlers Gap,0.911,43.64,0.625,,,,,,1.2,,
Acacia parvipinnula,Yengo,0.602,56.6,0.03,0.91,316.29,17.9,12.23,0.69,6,34.04,0.882268138
Pimelea microcephala,Round Hill,0.7,56.8,0.262,0.75,132.7,10.6,26.6,,3,28.01,2.085143813
Lophostemon suaveolens,Cardwell,0.54,61.8,51.5,1.39,195.47,12.074,31.15,1.92,25,12.8142,0.585309473
Macaranga involucrata,Cardwell,0.4,69.8,98.6,3.09,89.04,6.214,11.77,0.82,5,20.6642,1.455373033
Acacia dealbata,Longley,0.45,70.4,0.033,3.25,176.31,12.405,25.2,1.77,8,,
Polyscias elegans,Cardwell,0.38,72.8,35.9,4.35,50.26,3.66,17.17,1.25,25,,
Grevillea mucronulata,Yengo,0.677,75.2,0.65,0.95,169.62,12.8,5.84,0.44,2,12.32,0.57898173
Macaranga tanarius,Cardwell,0.39,78.7,145.2,4.35,88.45,6.96,11.99,0.94,7,20.3442,1.334208581
Acacia crassicarpa,Cardwell,0.51,78.9,57.9,8.65,169.95,13.414,26.63,2.1,20,20.4342,0.616397026
Alphitonia excelsa,Cardwell,0.37,80.6,32.3,5.68,162.4,13.0933,13.5,1.09,25,20.2242,0.863777542
Ixora timorensis,Cardwell,0.52,81.5,90.3,2.4,91.57,7.466,8.67,0.71,8,21.6542,1.148960183
Acacia dealbata,Bothwell,0.67,83.2,0.026,2.14,140.06,11.65,23.61,1.96,6,25.18095238,0.923387415
Timonius timon,Cardwell,0.47,84.9,27.4,6.36,102.11,8.674,15.92,1.35,10,15.6542,0.945072312
Planchonia careya,Cardwell,0.44,89.1,38.1,9.35,106.48,9.488,9.98,0.89,7,17.5242,0.925008057
Cassinia aculeata,Bothwell,0.61,89.5,0.124,1,118.25,10.588,41.81,3.74,3.6,18.98095238,1.220780871
Leucopogon ericoides,Longley,0.71,90.3,0.188,1.18,82.29,7.427,32.1,2.9,2.4,10.5742,0.62626006
Pultenaea scabra,Yengo,0.803,93,0.087,0.86,113.75,10.6,17.41,1.62,1.5,18.59,0.412264312
Corymbia intermedia,Cardwell,0.6,93.8,32.6,3.61,106.31,9.97,24.5,2.3,35,14.8442,0.896170705
Canarium australianum,Cardwell,0.45,94.2,51.1,3.26,94.37,8.885,9.78,0.92,20,14.6642,1.019225362
Planchonia careya,Princess Hills,0.54,96.5,27.58,10.27,115.35,11.128,29.46,2.84,7,18.0075,1.121283317
Archidendropsis basaltica,Claraville,0.735,96.8,0,4.26,219.71,21.28,28.74,2.78,10,19.65714286,0.747541233
Melaleuca squarrosa,Longley,0.62,98.7,0.381,4.1,73.97,7.302,12.89,1.27,4.5,11.0442,0.661671906
Gardenia vilhelmii,Claraville,0.643,99.7,2.6,2.71,139.07,13.86,15.34,1.53,4,14.91428571,0.772212021
Acacia mangium,Cardwell,0.4,101.1,87.2,3.48,132.01,13.352,24.72,2.5,30,24.7942,0.699910807
Brachychiton populneus,Round Hill,0.47,102.1,11.462,2.51,50.6,7.4,4.7,,7,21.58,1.027518145
Leptospermum glaucescens,Longley,0.65,102.4,0.295,5.01,69.38,7.106,15.11,1.55,5,9.2072,0.504270011
