Author	Title	Journal	Year
Allesio__etal	Water sources and water-use efficiency in mediterranean coastal dune vegetation.	Plant Biology	2004
Bannister_Strong	Carbon and nitrogen isotope ratios, nitrogen content and heterotrophy in New Zealand mistletoes	Oecologia	2001
Barbour	Variation in the degree of coupling between delta C-13 of phloem sap and ecosystem respiration in two mature Nothofagus forests	New Phytologist	2005
Barbour_etal	Seasonal variation in delta C-13 and delta O-18 of cellulose from growth rings of Pinus radiata	Plant, Cell and Environment	2002
Chevilla__etal	Tissue-specific variation of _13C in mature canopy trees in a temperate forest in central Europe	Basic and Applied Ecology	2005
Berry_etal	Leaf _13C in Pinus resinosa trees and understory plants: variation associated with light and CO2 gradients	Oecologia	1997
Bhaskar_etal	Evolution of hydraulic traits in closely related species pairs from mediterranean and nonmediterranean environments of North America	New Phytologist	2007
Blake_etal	RADIOCARBON AGE DETERMINATIONS FROM THE CAREY ISLANDS, NORTHWEST GREENLAND	NA	1977
Bonal_etal	Interspecific variability of _13C among trees in rainforests of French Guiana: functional groups and canopy integration	Oecologia	2000
Brooks_Curd	BOREAS TE-05 Leaf Carbon Isotope Data. Data set.	Oak Ridge National Laboratory Distributed Active Archive Center,	1998
Broadmeadow_etal	The carbon isotope ratio of plant organic material reflects temporal and spatial variations in CO2 within tropical forest formations in Trinidad	Oecologia	2002
Brooks_etal	responses of boreal conifers to climate fluctuations: indications from tree-ring widths and carbon isotope analyses	Canadian Journal of Forest Research	1998
Buchmann_etal	Influence of stand structure on carbon-13 of vegetation, soils, and canopy air within deciduous and evergreen forests in Utah, United States	Oecologia	1996
Buchmann_etal	Interseasonal comparison of CO2 concentrations, isotopic composition, and carbon dynamics in an Amazonian rainforest (French Guiana)	Oecologia	1997
Burgess_Dawson	Predicting the limits to tree height using statistical regressions of leaf traits	New Phytologist	2007
Castellanos_etal	Microenvironmental Heterogeneity and Space Utilization by Desert Vines within their Host Trees	Annals of Botany	1999
Cernusak_etal	Diurnal variation in the stable isotope composition of water and dry matter in fruiting Lupinus angustifolius under field conditions	Plant, Cell & Environment_	2002
Cernusak_etal	Environmental and physiological controls over oxygen and carbon isotope composition of Tasmanian blue gum, Eucalyptus globulus	Tree Physiology	2005
Cernusak_etal	Oxygen and carbon isotope composition of parasitic plants and their hosts in southwestern Australia	Oecologia	2004
Cernusak_etal	Responses of foliar d13C, gas exchange, and leaf morphology to reduced hydraulic conductivity in Pinus monticola branches	Tree Physiology	2001
Cernusak_and_Marshall	Oxygen isotope composition of CAM and C3 Clusia species: non-steady-state dynamics control leaf water 18O enrichment in succulent leaves	Plant Cell and Environment	2008
Chevillat_etal	Tissue-specific variation of _13C in mature canopy trees in a temperate forest in central Europe	Basic and Applied Ecology	2005
Codron_etal	Taxonomic, anatomical, and spatio-temporal variations in the stable carbon and nitrogen isotopic compositions of plants from an African savanna	Journal of Archaeological Science	2005
Cornwell_etal	Adjustment of structure and function of Hawaiian Metrosideros polymorpha at high vs. low precipitation	Functional Ecology	2007
Cramer_etal	Does the prostrate-leaved geophyte Brunsvigia orientalis utilize soil-derived CO2 for photosynthesis?	Annals of Botany	2007
Damesin_etal	Between-tree variations in leaf delta C-13 of Quercus pubescens and Quercus ilex among Mediterranean habitats with different water availability	Oecologia	1997
Dawson_etal	Temporal scaling of physiological responses from gas exchange to tree rings: a gender-specific study of Acer negundo (Boxelder) growing under different conditions	Functional Ecology	2004
Day_etal	Warming increases aboveground plant biomass and C stocks in vascular-plant-dominated Antarctic tundra	Global Change Biology	2008
Delucia_Schlesinger	Resource-Use Efficiency and Drought Tolerance in Adjacent Great-Basin and Sierran Plants	Ecology	1991
Delucia_Schlesinger	Photosynthetic Rates and Nutrient-Use Efficiency among Evergreen and Deciduous Shrubs in Okefenokee Swamp	International Journal of Plant Sciences	1995
Donovan_Ehleringer	Contrasting Water-Use Patterns among Size and Life-History Classes of a Semiarid Shrub (1992), Carbon-Isotope Discrimination, Water-Use Efficiency, Growth, and Mortality in a Natural Shrub Population (1994), Potential for Selection on Plants for Water-Use Efficiency as Estimated by Carbon-Isotope Discrimination (1994). ??	Functional Ecology	1992
Donovan_etal	Phenotypic selection on leaf water use efficiency and related ecophysiological traits for natural populations of desert sunflowers	Oecologia	2007
Duarte_etal	Ecophysiology of six selected shrub species in different plant communities at the periphery of the Atlantic Forest of SE-Brazil	Flora	2005
Duursma_etal	Description and test of a simple process-based model of forest growth for mixed-species stands	Ecological Modelling	2007
Edwards	Correlated evolution of stem and leaf hydraulic traits in Pereskia (Cactaceae)	New Phytologist	2006
