Sample,Scientific Name,Genus,common name,Family,Habit,LH,LHep,LHae,Pend,Location,Leaf area (to be used for LMA),Leaf area (to be used for LMA) per leaflet,Leaf area (approximated total area),Leaf area (approximated total area)  per leaflet,Leaf Length,Leaf width,Leaf thickness,Leaf wet weight (petiole attached),Leaf wet weight (petiole attached) per leaflet,Leaf dry weight (petiole attached),Leaf dry weight (petiole attached) per leaflet,Leaf wet weight (petiole removed) per leaflet,Leaf dry weight (petiole removed) per leaflet,Petiole length,Petiole length per leaflet,Petiole width (adjoining leaf blade),Petiole width (adjoining leaf blade) per leaflet,Petiole width (adjoining plant stem),Petiole width (adjoining plant stem) per leaflet,Leaf Mass Per Area (LMA g/m-2) PETIOLE ATTACHED,Leaf Mass Per Area (LMA)_Leaflets PETIOLE ATTACHED,Percent Water Content (WC),Percent Water Content (WC)_Leaflets,Leaf Mass Per Area (LMA g/m-2) PETIOLE REMOVED,Leaf Mass Per Area (LMA)_Leaflets PETIOLE REMOVED
1,Pimelea microcephala subsp. Microcephala,Pimelea,"Shrubby Rice-flower, Mallee Rice-flower",Thymelaeaceae,2,3,2,2,1,3,46.55074,,53.84926667,,20.7616,3.295933333,0.3514,0.01248,,0.00376,,,,0.001,,0.900933333,,,,80.10826059,,69.46424622,,,
2,Wahlenbergia fluminalis,Wahlenbergia,River Bluebell,Campanulaceae,1,2,2,1,1,3,107.4948,,107.4948,,42.6812,3.282533333,0.212,0.021666667,,0.005,,,,0.001,,0.734733333,,,,46.9280426,,76.40565616,,,
3,Dodonaea viscosa subsp. spathulata,Dodonaea,Hop-bush,Sapindaceae,2,3,2,2,1,3,220.0064667,,220.0064,,36.6456,10.243,0.218,0.059533333,,0.025933333,,,,0.001,,0.9976,,,,121.2285512,,56.01326578,,,
4,Calostemma purpureum,Calostemma,Garland Lily,Amaryllidaceae,1,2,2,1,1,3,3470.254467,,3470.254467,,366.6066,10.14006667,1.134,2.570266667,,0.2304,,,,0.001,,8.897266667,,,,66.19074088,,90.95041516,,,
5,Chenopodium desertorum subsp. anidiophyllum,Chenopodium,Mallee Goosefoot,Chenopodiaceae,2,3,2,2,1,3,237.1957333,,245.7236,,16.69393333,17.42506667,0.235333333,0.069466667,,0.016866667,,,,15.13333333,,1.6466,,0.857333333,,71.4119654,,75.60306265,,,
6,Pittosporum angustifolium,Pittosporum,"Weeping Pittosporum, Butterbush, Berrigan",Pittosporaceae,3,3,2,2,2,3,432.5774667,,1259.025267,,88.00106667,5.832266667,0.528666667,0.180666667,,0.070333333,,,,10.15433333,,1.212466667,,1.138533333,,169.8237188,,61.13274719,,,
7,Enchylaena tomentosa,Enchylaena,Ruby Saltbush,Chenopodiaceae,2,3,2,2,1,5,32.32478,,37.54746667,,17.70013333,2.104733333,1.1614,0.0195,,0.00246,,,,0.001,,0.8108,,,,83.08090196,,86.93181818,,,
8,Eucalyptus camaldulensis ssp. Obtusa,Eucalyptus,Blunt-budded River Red Gum,Myrtaceae,3,3,2,2,2,3,2168.636467,,2174.285467,,114.7354,27.4434,0.362666667,0.9234,,0.433333333,,,,16.66666667,,2.079333333,,2.235333333,,199.2986505,,52.97446411,,192.6231627,
9,Solanum ellipticum,Solanum,"Potato Bush, Potato Weed",Solanaceae,1,3,2,2,1,5,1929.706867,,1958.928133,,73.93926667,32.6274,0.786,0.772866667,,0.2024,,,,27.66666667,,3.372666667,,2.909,,105.2515065,,73.81480821,,93.00030682,
10,Eremophila longifolia,Eremophila,"Berrigan, Emubush",Myoporaceae,3,3,2,2,2,3,373.1182667,,373.1182667,,119.9789333,4.173333333,0.524666667,0.191866667,,0.05,,,,0.001,,1.189666667,,,,135.2681729,,73.9904541,,,
