taxon_name,trait_name,value_type,value,unit,notes,,observation_id,original_name,value_original,leaf,form,original_text
Abutilon malvifolium,leaf_length,minimum,10,mm,good,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Abutilon_malvaefolium,6,Abutilon malvaefolium,10,,,
Abutilon malvifolium,leaf_length,maximum,40,mm,good,,6,Abutilon malvaefolium,40,,,
Abutilon oxycarpum var. incanum,plant_height,maximum,1,m,good,,9,Abutilon oxycarpum var. incanum,1,,,
Abutilon oxycarpum var. oxycarpum,leaf_length,maximum,90,mm,good,,10,Abutilon oxycarpum var. oxycarpum,90,,,
Acaena x ovina,plant_height,maximum,0.5,m,good,,11,Acaena agnipila,0.5,,,
Acrotriche cordata,leaf_length,minimum,4,mm,good,,21,Acrotriche cordata,4,"leaves thick, rigid, usually flat, 4-12 (rarely to 14) mm long, 1.6-5 mm wide, apex and base acute to obtuse, margins entire, both surfaces glabrous, lower surface dull, with 3 parallel central veins and others radiating to the margins; petiole 0.8-1.4 mm long.","erect shrub 20-100 cm high, to 120 cm across;","Description: Erect shrub 20-100 cm high, to 120 cm across; young branches red-brown, older stems grey or grey-brown; leaves thick, rigid, usually flat, 4-12 (rarely to 14) mm long, 1.6-5 mm wide, apex and base acute to obtuse, margins entire, both surfaces glabrous, lower surface dull, with 3 parallel central veins and others radiating to the margins; petiole 0.8-1.4 mm long.Flowers pale-green, in 5-8 mm long spikes; bracts broadly ovate, 0.8-0.9 mm long and wide, obtuse, glabrous except for the ciliolate margins; bracteoles 1-1.2 x 0.8-1.2 mm; sepals 1.5-1.9 x 1-1.3 mm; corolla tube 2.3-4 mm long, lobes 1.2-1.6 mm long; anthers orange, 0.6-0.7 mm long; ovary 0.8-1 mm high and wide, 4-6-celled, glabrous; style 0.8-1 mm long; nectary 0.4-0.6 mm high.Fruit spherical to depressed-globular, 2.7-3.5 x 2.9-5.2 ram, pale-green, smooth."
Aeonium arboreum,leaf_length,minimum,50,mm,good,,34,Aeonium arboreum,50,"leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 x 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.","perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched;","Description: Perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched; leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 X 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.Inflorescence an ovoid thyrse with few to many branches each with 1-3 monochasia, with flowers borne well above the leaves; flowers star-shaped, spreading, 9-11-merous; calyx with 9-11 lanceolate lobes, 2-3.5 mm long, obtuse, rarely acute; petals scarcely fused basally, linear-lanceolate, 6-7 mm long, pointed, spreading, bright-yellow; stamens 18-22, with filaments scarcely fused to the base of the corolla tube; nectary scales square to transversely oblong, slightly fleshy, yellow.Carpels 9-11, reniform, gradually tapering into slender styles at first erect later somewhat recurved; ovary with many ovules."
Aeonium arboreum,leaf_length,maximum,90,mm,good,,34,Aeonium arboreum,90,"leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 x 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.","perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched;","Description: Perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched; leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 X 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.Inflorescence an ovoid thyrse with few to many branches each with 1-3 monochasia, with flowers borne well above the leaves; flowers star-shaped, spreading, 9-11-merous; calyx with 9-11 lanceolate lobes, 2-3.5 mm long, obtuse, rarely acute; petals scarcely fused basally, linear-lanceolate, 6-7 mm long, pointed, spreading, bright-yellow; stamens 18-22, with filaments scarcely fused to the base of the corolla tube; nectary scales square to transversely oblong, slightly fleshy, yellow.Carpels 9-11, reniform, gradually tapering into slender styles at first erect later somewhat recurved; ovary with many ovules."
Aeonium arboreum,leaf_width,minimum,15,mm,good,,34,Aeonium arboreum,15,"leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 x 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.","perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched;","Description: Perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched; leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 X 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.Inflorescence an ovoid thyrse with few to many branches each with 1-3 monochasia, with flowers borne well above the leaves; flowers star-shaped, spreading, 9-11-merous; calyx with 9-11 lanceolate lobes, 2-3.5 mm long, obtuse, rarely acute; petals scarcely fused basally, linear-lanceolate, 6-7 mm long, pointed, spreading, bright-yellow; stamens 18-22, with filaments scarcely fused to the base of the corolla tube; nectary scales square to transversely oblong, slightly fleshy, yellow.Carpels 9-11, reniform, gradually tapering into slender styles at first erect later somewhat recurved; ovary with many ovules."
Aeonium arboreum,leaf_width,maximum,30,mm,good,,34,Aeonium arboreum,30,"leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 x 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.","perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched;","Description: Perennial shrubs to 1.2 m high with straight cartilaginous branches, little branched; leaves in a dense rosette at the end of the branches, oblanceolate to oblanceolate-obtriangular, 5-9 X 1.5-3 cm, acute to emarginate and mucronate, with a long cuneate base, little fleshy, dorsiventrally flattened, glossy-green, with the marginal cilia curved towards the apex.Inflorescence an ovoid thyrse with few to many branches each with 1-3 monochasia, with flowers borne well above the leaves; flowers star-shaped, spreading, 9-11-merous; calyx with 9-11 lanceolate lobes, 2-3.5 mm long, obtuse, rarely acute; petals scarcely fused basally, linear-lanceolate, 6-7 mm long, pointed, spreading, bright-yellow; stamens 18-22, with filaments scarcely fused to the base of the corolla tube; nectary scales square to transversely oblong, slightly fleshy, yellow.Carpels 9-11, reniform, gradually tapering into slender styles at first erect later somewhat recurved; ovary with many ovules."
