Site,Family,Species,No.,Season,LMA g/m2,Leaf N concentration mg/g DW,Leaf N P ratio,Leaf P concentration mg/g DW,Leaf P concentration per leaf area mg/m2,Photosynthetic rate (leaf area basis) umol CO2/m2/s,Photosynthetic rate (dry mass basis) umol CO2/g DW/s,PPUE  umol CO2/g P/s,PNUE umol CO2/g N/s,Lipid P concentration mg/g DW,Nucleic acid P concentration mg/g DW,Residual P concentration mg/g DW,Pi concentration mg/g DW,Metabolite P concentration mg/g DW,Pre-dawn leaf waterpotential Mpa
BD,Proteaceae,Petrophile linearis,SL46,Summer,583.9685272,4.52,60.28160438,0.074981415,43.78678654,4.665649536,7.989556489,106.5538238,1.767600993,0.017143505,0.027230578,3.96E-05,0.01985711,0.022221353,-2.6
BD,Proteaceae,Petrophile linearis,SL47,Summer,461.0966195,4.68,43.84827291,0.106731684,49.21361861,,,,,0.028821511,0.037788809,0.003241987,0.043178378,0.023455078,0
BD,Proteaceae,Petrophile linearis,SL48,Summer,470.7392746,5.28,27.43558091,0.192450818,90.59415867,14.58000628,30.97257244,160.9375979,5.866017507,0.035669061,0.056116328,0.009409824,0.051773232,0.028060618,-1.1
BD,Proteaceae,Petrophile linearis,SL49,Summer,485.6259901,3.83,27.63805784,0.138577031,67.29660791,8.712135636,17.94001107,129.4587633,4.684075996,0.030167839,0.037007026,0.00229554,0.043397943,0.021143431,-1.1
BD,Proteaceae,Petrophile linearis,SL50,Summer,536.9834167,6.44,33.39021844,0.192870856,103.568451,7.588917177,14.13249821,73.27441032,2.1944873,0.049491314,0.059560016,0.005665578,0.048524069,0.061359785,-1.3
BD,Proteaceae,Banksia attenuata,SL51,Summer,226.2755052,7.258589864,29.19546339,0.248620471,56.25672272,8.308380287,36.71798359,147.6868876,5.058556039,0.04123407,0.066923637,0.029441504,0.028264744,0.073323688,-0.9
BD,Proteaceae,Banksia attenuata,SL52,Summer,235.9662196,6.059695482,24.5482485,0.246848384,58.24788009,5.876385558,24.90350343,100.8858271,4.109695529,0.042545165,0.076107274,0.016564756,0.019957755,0.068868333,-0.7
BD,Proteaceae,Banksia attenuata,SL53,Summer,218.7585453,7.024741173,26.41164176,0.265971394,58.18351522,6.90280853,31.55446349,118.6385612,4.491904074,0.042141298,0.060020123,0.024019881,0.027736706,0.077085528,-0.9
BD,Proteaceae,Banksia attenuata,SL54,Summer,265.6948037,5.826998949,24.6037081,0.236834177,62.92561006,8.303030544,31.25025567,131.9499412,5.363010349,0.037138222,0.053826956,0.010962173,0.020519912,0.064202036,-1.2
BD,Proteaceae,Banksia attenuata,SL55,Summer,245.379786,5.660471916,23.34467208,0.242473824,59.49817512,2.207459213,8.99609234,37.10129275,1.589283097,0.038409978,0.068191556,0.026492324,0.022028562,0.066496634,-1.1
BD,Proteaceae,Stirlingia latifolia,Q29,Summer,275.5825735,8.32,32.45723722,0.256337283,70.64208812,22.84037159,82.88031899,323.3252613,9.961576801,0.045584835,0.084733285,0.010511414,0.064414334,0.050143719,-1
BD,Proteaceae,Stirlingia latifolia,Q30,Summer,294.506949,5.81,34.24223854,0.169673487,49.97002085,13.23034068,44.92369611,264.7655625,7.732133582,0.031431885,0.055015591,0.008785933,0.033557252,0.054081621,-1.3
BD,Proteaceae,Stirlingia latifolia,Q31,Summer,278.7307033,6.54,35.91150284,0.18211435,50.76086088,12.12229012,43.49104702,238.8117521,6.65000719,0.035719666,0.056794635,0.004374532,0.037056973,0.046117417,-1.6
