taxon_name,growth_form_icons,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Abelmoschus moschatus subsp. tuberosus,herb shrub,,,,,,,
Abroma molle,shrub,tree,,,,,,
Abrophyllum ornans,shrub tree,tree,,,,,,
Abrus precatorius,climber_vine_herbaceous,climber_vine,,,,,,
Abutilon auritum,shrub,,,,,,,
Abutilon hannii,herb shrub,,,,,,,
Abutilon indicum var. australiense,herb shrub,,,,,,,
Abutilon micropetalum,shrub,,,,,,,
Abutilon oxycarpum,herb shrub,,,,,,,
Abutilon sp  mataranka r m.barker 877,herb shrub,,,,,,,
Acacia aulacocarpa,tree,tree,,,,,,
Acacia auriculiformis,shrub tree,,,,,,,
Acacia celsa,shrub tree,,,,,,,
Acacia cincinnata,tree,tree,,,,,,
Acacia crassicarpa,shrub tree,,,,,,,
Acacia fasciculifera,tree,tree,,,,,,
Acacia flavescens,shrub tree,,,,,,,
Acacia fleckeri,tree,tree,,,,,,
Acacia harpophylla,tree,tree,,,,,,
Acacia holosericea,shrub,,,,,,,
Acacia hylonoma,tree,,,,,,,
Acacia lamprocarpa,tree,,,,,,,
Acacia leptocarpa,shrub tree,tree,,,,,,
Acacia maidenii,tree,tree shrub,,,,,,
Acacia mangium,tree,,,,,,,
Acacia melanoxylon,tree,tree,,,,,,
Acacia midgleyi,tree,,,,,,,
Acacia oraria,shrub tree,,,,,,,
Acacia polystachya,tree,,,,,,,
Acacia shirleyi,tree,tree,,,,,,
Acacia solenota,shrub,,,,,,,
Acacia spirorbis subsp. solandri,tree,,,,,,,
Acacia ulicifolia,herb shrub,,,,,,,
Acalypha eremorum,herb shrub,,,,,,,
Acalypha lanceolata,herb,herb,erect,,annual,,,
Acalypha lyonsii,herb shrub,,,,,,,
Acalypha nemorum,herb shrub,,,,,,,
Acalypha pubiflora subsp. australica,shrub,shrub,,,,,,
Acanthospermum hispidum,herb,herb,,,,,,
Acanthus ilicifolius,herb shrub,,,,,,,
Aceratium concinnum,tree,tree,,,,,,
Aceratium doggrellii,tree,,,,,,,
Aceratium ferrugineum,tree,tree,,,,,,
Aceratium megalospermum,shrub tree,tree,,,,,,
Aceratium sericoleopsis,shrub tree,tree,,,,,,
Achyranthes aspera,herb shrub,,,,,,,
Ackama australiensis,tree,,,,,,,
Ackama paniculosa,tree,tree,,,,,,
Acronychia aberrans,tree,,,,,,,
Acronychia acidula,tree,,,,,,,
Acronychia acronychioides,tree,,,,,,,
Acronychia acuminata,herb shrub tree,tree,,,,,,
Acronychia chooreechillum,tree,,,,,,,
Acronychia crassipetala,shrub tree,tree,,,,,,
Acronychia eungellensis,tree,tree,,,,,,
Acronychia imperforata,shrub tree,,,,,,,
Acronychia laevis,shrub tree,,,,,,,
Acronychia parviflora,shrub,,,,,,,
Acronychia pauciflora,shrub tree,tree shrub,,,,,,
Acronychia peninsularis,shrub tree,,,,,,,
Acronychia vestita,shrub tree,,,,,,,
